Date,Sentiment Score,Source
2024-02-13,79,
2024-02-14,74,
2024-02-15,72,
2024-02-16,72,
2024-02-17,76,
2024-02-18,72,
2024-02-19,75,
2024-02-20,72,
2024-02-21,78,
2024-02-22,74,
2024-02-23,76,
2024-02-24,72,
2024-02-25,74,
2024-02-26,72,
2024-02-27,79,
2024-02-28,82,
2024-02-29,80,
2024-03-01,80,
2024-03-02,80,
2024-03-03,83,
2024-03-04,82,
2024-03-05,90,
2024-03-06,75,
2024-03-07,82,
2024-03-08,81,
2024-03-09,84,
2024-03-10,79,
2024-03-11,82,
2024-03-12,81,
2024-03-13,81,
2024-03-14,88,
2024-03-15,83,
2024-03-16,81,
2024-03-17,79,
2024-03-18,77,
2024-03-19,79,
2024-03-20,74,
2024-03-21,78,
2024-03-22,75,
2024-03-23,73,
2024-03-24,74,
2024-03-25,75,
2024-03-26,81,
2024-03-27,83,
2024-03-28,80,
2024-03-29,79,
2024-03-30,75,
2024-03-31,75,
2024-04-01,79,
2024-04-02,79,
2024-04-03,71,
2024-04-04,70,
2024-04-05,79,
2024-04-06,75,
2024-04-07,78,
2024-04-08,76,
2024-04-09,80,
2024-04-10,78,
2024-04-11,76,
2024-04-12,79,
2024-04-13,72,
2024-04-14,72,
2024-04-15,74,
2024-04-16,65,
2024-04-17,67,
2024-04-18,57,
2024-04-19,66,
2024-04-20,66,
2024-04-21,72,
2024-04-22,73,
2024-04-23,71,
2024-04-24,72,
2024-04-25,72,
2024-04-26,70,
2024-04-27,67,
2024-04-28,65,
2024-04-29,67,
2024-04-30,67,
2024-05-01,54,
2024-05-02,43,
2024-05-03,48,
2024-05-04,67,
2024-05-05,69,
2024-05-06,71,
2024-05-07,68,
2024-05-08,64,
2024-05-09,55,
2024-05-10,66,
2024-05-11,53,
2024-05-12,56,
2024-05-13,57,
2024-05-14,66,
2024-05-15,64,
2024-05-16,70,
2024-05-17,74,
2024-05-18,73,
2024-05-19,72,
2024-05-20,70,
2024-05-21,76,
2024-05-22,76,
2024-05-23,76,
2024-05-24,74,
2024-05-25,76,
2024-05-26,75,
2024-05-27,74,
2024-05-28,72,
2024-05-29,72,
2024-05-30,73,
2024-05-31,73,
2024-06-01,72,
2024-06-02,73,
2024-06-03,73,
2024-06-04,73,
2024-06-05,75,
2024-06-06,78,
2024-06-07,77,
2024-06-08,72,
2024-06-09,75,
2024-06-10,72,
2024-06-11,74,
2024-06-12,72,
2024-06-13,70,
2024-06-14,74,
2024-06-15,74,
2024-06-16,71,
2024-06-17,71,
